year,averagetemperature
1950,23.66
1951,24.22
1952,24.37
1953,24.56
1954,24.17
1955,23.95
1956,23.9
1957,24.03
1958,24.68
1959,24.27
1960,24.29
1961,23.82
1962,23.89
1963,24.1
1964,24.07
1965,24.09
1966,24.44
1967,23.99
1968,23.87
1969,24.5
1970,24.07
1971,23.63
1972,24.27
1973,24.39
1974,24.18
1975,23.86
1976,24.2
1977,24.29
1978,24.01
1979,24.55
1980,24.59
1981,24.23
1982,24.22
1983,23.94
1984,24.19
1985,24.49
1986,24.29
1987,24.79
1988,24.73
1989,24.16
1990,24.18
1991,24.31
1992,24.22
1993,24.41
1994,24.3
1995,24.43
1996,24.44
1997,24.05
1998,24.76
1999,24.66
2000,24.5
2001,24.58
2002,24.91
2003,24.65
2004,24.64
2005,24.5
2006,24.73
2007,24.65
2008,24.4
2009,25.15
2010,25.05
2011,24.42
2012,24.64
2013,25.41
